"force","duck.id","screwsize","bone","screwtype","side","location","sex","locationn","bone.id"
214.82,"s12",1.5,"tibiotarsus","locking","L","L3","F",3,"s12Lt"
200.05,"s12",1.5,"tibiotarsus","locking","L","L4","F",4,"s12Lt"
108.77,"s12",1.5,"tibiotarsus","locking","L","L5","F",5,"s12Lt"
190.75,"s12",1.5,"tibiotarsus","locking","R","L1","F",1,"s12Rt"
433.39,"s12",1.5,"tibiotarsus","locking","R","L2","F",2,"s12Rt"
223.76,"s12",1.5,"tibiotarsus","locking","R","L3","F",3,"s12Rt"
192.55,"s12",1.5,"tibiotarsus","locking","R","L4","F",4,"s12Rt"
127.57,"s12",1.5,"tibiotarsus","locking","R","L5","F",5,"s12Rt"
148.44,"s15",1.5,"tibiotarsus","locking","L","L1","M",1,"s15Lt"
440.15,"s15",1.5,"tibiotarsus","locking","L","L2","M",2,"s15Lt"
269.43,"s15",1.5,"tibiotarsus","locking","L","L3","M",3,"s15Lt"
186.69,"s15",1.5,"tibiotarsus","locking","L","L4","M",4,"s15Lt"
86.94,"s15",1.5,"tibiotarsus","locking","L","L5","M",5,"s15Lt"
120.17,"s15",1.5,"tibiotarsus","locking","R","L1","M",1,"s15Rt"
557.2,"s15",1.5,"tibiotarsus","locking","R","L2","M",2,"s15Rt"
393.66,"s15",1.5,"tibiotarsus","locking","R","L3","M",3,"s15Rt"
213.92,"s15",1.5,"tibiotarsus","locking","R","L4","M",4,"s15Rt"
81.7,"s15",1.5,"tibiotarsus","locking","R","L5","M",5,"s15Rt"
138.34,"s16",1.5,"tibiotarsus","locking","L","L1","M",1,"s16Lt"
496.63,"s16",1.5,"tibiotarsus","locking","L","L2","M",2,"s16Lt"
242.42,"s16",1.5,"tibiotarsus","locking","L","L3","M",3,"s16Lt"
237.13,"s16",1.5,"tibiotarsus","locking","L","L4","M",4,"s16Lt"
74.56,"s16",1.5,"tibiotarsus","locking","L","L5","M",5,"s16Lt"
147.92,"s16",1.5,"tibiotarsus","locking","R","L1","M",1,"s16Rt"
434.94,"s16",1.5,"tibiotarsus","locking","R","L2","M",2,"s16Rt"
330.78,"s16",1.5,"tibiotarsus","locking","R","L3","M",3,"s16Rt"
200.04,"s16",1.5,"tibiotarsus","locking","R","L4","M",4,"s16Rt"
101.92,"s16",1.5,"tibiotarsus","locking","R","L5","M",5,"s16Rt"
173.34,"s18",1.5,"tibiotarsus","locking","L","L1","M",1,"s18Lt"
384.66,"s18",1.5,"tibiotarsus","locking","L","L2","M",2,"s18Lt"
265.62,"s18",1.5,"tibiotarsus","locking","L","L3","M",3,"s18Lt"
220.64,"s18",1.5,"tibiotarsus","locking","L","L4","M",4,"s18Lt"
102.92,"s18",1.5,"tibiotarsus","locking","L","L5","M",5,"s18Lt"
130.21,"s18",1.5,"tibiotarsus","locking","R","L1","M",1,"s18Rt"
506.07,"s18",1.5,"tibiotarsus","locking","R","L2","M",2,"s18Rt"
124.02,"s18",1.5,"tibiotarsus","locking","R","L3","M",3,"s18Rt"
246.09,"s18",1.5,"tibiotarsus","locking","R","L4","M",4,"s18Rt"
110.04,"s18",1.5,"tibiotarsus","locking","R","L5","M",5,"s18Rt"
92,"s19",1.5,"tibiotarsus","locking","L","L1","F",1,"s19Lt"
